,Time,Username,UserID,Voice Channel
333,12:58:33,johann,396397812037713924,Token Engineering
337,13:0:3,johann,396397812037713924,Token Engineering
340,13:1:33,johann,396397812037713924,Token Engineering
345,13:3:3,johann,396397812037713924,Token Engineering
351,13:4:33,johann,396397812037713924,Token Engineering
357,13:6:3,johann,396397812037713924,Token Engineering
363,13:7:33,johann,396397812037713924,Token Engineering
369,13:9:3,johann,396397812037713924,Token Engineering
375,13:10:33,johann,396397812037713924,Token Engineering
381,13:12:3,johann,396397812037713924,Token Engineering
388,13:13:33,johann,396397812037713924,Token Engineering
395,13:15:3,johann,396397812037713924,Token Engineering
402,13:16:33,johann,396397812037713924,Token Engineering
409,13:18:3,johann,396397812037713924,Token Engineering
416,13:19:33,johann,396397812037713924,Token Engineering
423,13:21:3,johann,396397812037713924,Token Engineering
429,13:22:33,johann,396397812037713924,Token Engineering
435,13:24:3,johann,396397812037713924,Token Engineering
441,13:25:33,johann,396397812037713924,Token Engineering
447,13:27:4,johann,396397812037713924,Token Engineering
453,13:28:34,johann,396397812037713924,Token Engineering
459,13:30:4,johann,396397812037713924,Token Engineering
465,13:31:34,johann,396397812037713924,Token Engineering
471,13:33:4,johann,396397812037713924,Token Engineering
477,13:34:34,johann,396397812037713924,Token Engineering
483,13:36:4,johann,396397812037713924,Token Engineering
489,13:37:34,johann,396397812037713924,Token Engineering
495,13:39:4,johann,396397812037713924,Token Engineering
501,13:40:34,johann,396397812037713924,Token Engineering
507,13:42:4,johann,396397812037713924,Token Engineering
513,13:43:34,johann,396397812037713924,Token Engineering
519,13:45:4,johann,396397812037713924,Token Engineering
525,13:46:34,johann,396397812037713924,Token Engineering
531,13:48:4,johann,396397812037713924,Token Engineering
538,13:49:34,johann,396397812037713924,Token Engineering
545,13:51:4,johann,396397812037713924,Token Engineering
552,13:52:34,johann,396397812037713924,Token Engineering
559,13:54:4,johann,396397812037713924,Token Engineering
566,13:55:34,johann,396397812037713924,Token Engineering
573,13:57:4,johann,396397812037713924,Token Engineering
580,13:58:34,johann,396397812037713924,Token Engineering
587,14:0:4,johann,396397812037713924,Token Engineering
592,14:1:34,johann,396397812037713924,Token Engineering
594,14:3:4,johann,396397812037713924,Token Engineering
596,14:4:34,johann,396397812037713924,Token Engineering
598,14:6:4,johann,396397812037713924,Token Engineering
600,14:7:34,johann,396397812037713924,Token Engineering
602,14:9:4,johann,396397812037713924,Token Engineering
604,14:10:34,johann,396397812037713924,Token Engineering
606,14:12:4,johann,396397812037713924,Token Engineering
608,14:13:34,johann,396397812037713924,Token Engineering
610,14:15:4,johann,396397812037713924,Token Engineering
612,14:16:34,johann,396397812037713924,Token Engineering
614,14:18:4,johann,396397812037713924,Token Engineering
616,14:19:34,johann,396397812037713924,Token Engineering
618,14:21:4,johann,396397812037713924,Token Engineering
620,14:22:34,johann,396397812037713924,Token Engineering
622,14:24:4,johann,396397812037713924,Token Engineering
624,14:25:34,johann,396397812037713924,Token Engineering
626,14:27:4,johann,396397812037713924,Token Engineering
628,14:28:34,johann,396397812037713924,Token Engineering
630,14:30:4,johann,396397812037713924,Token Engineering
632,14:31:34,johann,396397812037713924,Token Engineering
634,14:33:4,johann,396397812037713924,Token Engineering
636,14:34:34,johann,396397812037713924,Token Engineering
638,14:36:4,johann,396397812037713924,Token Engineering
640,14:37:34,johann,396397812037713924,Token Engineering
642,14:39:4,johann,396397812037713924,Token Engineering
645,14:40:34,johann,396397812037713924,Token Engineering
647,14:42:4,johann,396397812037713924,Token Engineering
650,14:43:34,johann,396397812037713924,Token Engineering
653,14:45:4,johann,396397812037713924,Token Engineering
656,14:46:34,johann,396397812037713924,Token Engineering
659,14:48:4,johann,396397812037713924,Token Engineering
662,14:49:34,johann,396397812037713924,Token Engineering
665,14:51:4,johann,396397812037713924,Token Engineering
668,14:52:34,johann,396397812037713924,Token Engineering
671,14:54:4,johann,396397812037713924,Token Engineering
674,14:55:34,johann,396397812037713924,Token Engineering
677,14:57:4,johann,396397812037713924,Token Engineering
680,14:58:34,johann,396397812037713924,Token Engineering
683,15:0:4,johann,396397812037713924,Token Engineering
686,15:1:34,johann,396397812037713924,Token Engineering
689,15:3:4,johann,396397812037713924,Token Engineering
692,15:4:34,johann,396397812037713924,Token Engineering
695,15:6:4,johann,396397812037713924,Token Engineering
698,15:7:34,johann,396397812037713924,Token Engineering
701,15:9:4,johann,396397812037713924,Token Engineering
704,15:10:34,johann,396397812037713924,Token Engineering
707,15:12:5,johann,396397812037713924,Token Engineering
710,15:13:35,johann,396397812037713924,Token Engineering
713,15:15:5,johann,396397812037713924,Token Engineering
716,15:16:35,johann,396397812037713924,Token Engineering
719,15:18:5,johann,396397812037713924,Token Engineering
722,15:19:35,johann,396397812037713924,Token Engineering
725,15:21:5,johann,396397812037713924,Token Engineering
728,15:22:35,johann,396397812037713924,Token Engineering
730,15:24:5,johann,396397812037713924,Token Engineering
732,15:25:35,johann,396397812037713924,Token Engineering
734,15:27:5,johann,396397812037713924,Token Engineering
736,15:28:35,johann,396397812037713924,Token Engineering
738,15:30:5,johann,396397812037713924,Token Engineering
740,15:31:35,johann,396397812037713924,Token Engineering
742,15:33:5,johann,396397812037713924,Token Engineering
744,15:34:35,johann,396397812037713924,Token Engineering
746,15:36:5,johann,396397812037713924,Token Engineering
750,15:40:35,johann,396397812037713924,Token Engineering
752,15:42:5,johann,396397812037713924,Token Engineering
754,15:43:35,johann,396397812037713924,Token Engineering
756,15:45:5,johann,396397812037713924,Token Engineering
759,15:46:35,johann,396397812037713924,Token Engineering
761,15:48:5,johann,396397812037713924,Token Engineering
763,15:49:35,johann,396397812037713924,Token Engineering
765,15:51:5,johann,396397812037713924,Token Engineering
767,15:52:35,johann,396397812037713924,Token Engineering
769,15:54:5,johann,396397812037713924,Token Engineering
771,15:55:35,johann,396397812037713924,Token Engineering
773,15:57:5,johann,396397812037713924,Token Engineering
775,15:58:35,johann,396397812037713924,Token Engineering
777,16:0:5,johann,396397812037713924,Token Engineering
779,16:1:35,johann,396397812037713924,Token Engineering
781,16:3:5,johann,396397812037713924,Token Engineering
783,16:4:35,johann,396397812037713924,Token Engineering
785,16:6:5,johann,396397812037713924,Token Engineering
787,16:7:35,johann,396397812037713924,Token Engineering
790,16:9:5,johann,396397812037713924,Token Engineering
793,16:10:35,johann,396397812037713924,Token Engineering
796,16:12:5,johann,396397812037713924,Token Engineering
799,16:13:35,johann,396397812037713924,Token Engineering
802,16:15:5,johann,396397812037713924,Token Engineering
805,16:16:35,johann,396397812037713924,Token Engineering
808,16:18:5,johann,396397812037713924,Token Engineering
811,16:19:35,johann,396397812037713924,Token Engineering
814,16:21:5,johann,396397812037713924,Token Engineering
817,16:22:35,johann,396397812037713924,Token Engineering
820,16:24:5,johann,396397812037713924,Token Engineering
823,16:25:35,johann,396397812037713924,Token Engineering
826,16:27:5,johann,396397812037713924,Token Engineering
829,16:28:35,johann,396397812037713924,Token Engineering
832,16:30:5,johann,396397812037713924,Token Engineering
835,16:31:35,johann,396397812037713924,Token Engineering
838,16:33:5,johann,396397812037713924,Token Engineering
841,16:34:35,johann,396397812037713924,Token Engineering
844,16:36:5,johann,396397812037713924,Token Engineering
847,16:37:35,johann,396397812037713924,Token Engineering
850,16:39:5,johann,396397812037713924,Token Engineering
853,16:40:35,johann,396397812037713924,Token Engineering
856,16:42:5,johann,396397812037713924,Token Engineering
859,16:43:35,johann,396397812037713924,Token Engineering
862,16:45:5,johann,396397812037713924,Token Engineering
865,16:46:35,johann,396397812037713924,Token Engineering
868,16:48:5,johann,396397812037713924,Token Engineering
871,16:49:35,johann,396397812037713924,Token Engineering
874,16:51:5,johann,396397812037713924,Token Engineering
877,16:52:35,johann,396397812037713924,Token Engineering
880,16:54:5,johann,396397812037713924,Token Engineering
883,16:55:35,johann,396397812037713924,Token Engineering
886,16:57:5,johann,396397812037713924,Token Engineering
889,16:58:35,johann,396397812037713924,Token Engineering
892,17:0:5,johann,396397812037713924,Token Engineering
895,17:1:36,johann,396397812037713924,Token Engineering
898,17:3:6,johann,396397812037713924,Token Engineering
901,17:4:36,johann,396397812037713924,Token Engineering
904,17:6:6,johann,396397812037713924,Token Engineering
907,17:7:36,johann,396397812037713924,Token Engineering
910,17:9:6,johann,396397812037713924,Token Engineering
913,17:10:36,johann,396397812037713924,Token Engineering
916,17:12:6,johann,396397812037713924,Token Engineering
919,17:13:36,johann,396397812037713924,Token Engineering
922,17:15:6,johann,396397812037713924,Token Engineering
925,17:16:36,johann,396397812037713924,Token Engineering
928,17:18:6,johann,396397812037713924,Token Engineering
931,17:19:36,johann,396397812037713924,Token Engineering
934,17:21:6,johann,396397812037713924,Token Engineering
937,17:22:36,johann,396397812037713924,Token Engineering
940,17:24:6,johann,396397812037713924,Token Engineering
943,17:25:36,johann,396397812037713924,Token Engineering
946,17:27:6,johann,396397812037713924,Token Engineering
949,17:28:36,johann,396397812037713924,Token Engineering
952,17:30:6,johann,396397812037713924,Token Engineering
955,17:31:36,johann,396397812037713924,Token Engineering
958,17:33:6,johann,396397812037713924,Token Engineering
961,17:34:36,johann,396397812037713924,Token Engineering
964,17:36:6,johann,396397812037713924,Token Engineering
967,17:37:36,johann,396397812037713924,Token Engineering
970,17:39:6,johann,396397812037713924,Token Engineering
973,17:40:36,johann,396397812037713924,Token Engineering
976,17:42:6,johann,396397812037713924,Token Engineering
979,17:43:36,johann,396397812037713924,Token Engineering
982,17:45:6,johann,396397812037713924,Token Engineering
985,17:46:36,johann,396397812037713924,Token Engineering
988,17:48:6,johann,396397812037713924,Token Engineering
991,17:49:36,johann,396397812037713924,Token Engineering
994,17:51:6,johann,396397812037713924,Token Engineering
997,17:52:36,johann,396397812037713924,Token Engineering
1000,17:54:6,johann,396397812037713924,Token Engineering
1003,17:55:36,johann,396397812037713924,Token Engineering
1006,17:57:6,johann,396397812037713924,Token Engineering
1009,17:58:36,johann,396397812037713924,Token Engineering
1012,18:0:6,johann,396397812037713924,Token Engineering
1015,18:1:36,johann,396397812037713924,Token Engineering
1018,18:3:6,johann,396397812037713924,Token Engineering
1109,19:6:7,johann,396397812037713924,Token Engineering
1112,19:7:37,johann,396397812037713924,Token Engineering
1115,19:9:7,johann,396397812037713924,Token Engineering
1118,19:10:37,johann,396397812037713924,Token Engineering
1121,19:12:7,johann,396397812037713924,Token Engineering
1124,19:13:37,johann,396397812037713924,Token Engineering
1127,19:15:7,johann,396397812037713924,Token Engineering
1130,19:16:37,johann,396397812037713924,Token Engineering
1133,19:18:7,johann,396397812037713924,Token Engineering
1136,19:19:37,johann,396397812037713924,Token Engineering
1139,19:21:7,johann,396397812037713924,Token Engineering
1142,19:22:37,johann,396397812037713924,Token Engineering
1145,19:24:7,johann,396397812037713924,Token Engineering
1148,19:25:37,johann,396397812037713924,Token Engineering
1151,19:27:7,johann,396397812037713924,Token Engineering
1154,19:28:37,johann,396397812037713924,Token Engineering
1157,19:30:7,johann,396397812037713924,Token Engineering
1160,19:31:37,johann,396397812037713924,Token Engineering
1163,19:33:7,johann,396397812037713924,Token Engineering
1166,19:34:37,johann,396397812037713924,Token Engineering
1169,19:36:7,johann,396397812037713924,Token Engineering
1172,19:37:37,johann,396397812037713924,Token Engineering
1175,19:39:7,johann,396397812037713924,Token Engineering
1178,19:40:37,johann,396397812037713924,Token Engineering
1181,19:42:7,johann,396397812037713924,Token Engineering
1184,19:43:37,johann,396397812037713924,Token Engineering
1187,19:45:7,johann,396397812037713924,Token Engineering
1190,19:46:37,johann,396397812037713924,Token Engineering
1193,19:48:7,johann,396397812037713924,Token Engineering
1196,19:49:37,johann,396397812037713924,Token Engineering
1199,19:51:7,johann,396397812037713924,Token Engineering
1202,19:52:37,johann,396397812037713924,Token Engineering
1205,19:54:7,johann,396397812037713924,Token Engineering
1208,19:55:37,johann,396397812037713924,Token Engineering
1211,19:57:7,johann,396397812037713924,Token Engineering
1214,19:58:37,johann,396397812037713924,Token Engineering
1217,20:0:7,johann,396397812037713924,Token Engineering
1220,20:1:37,johann,396397812037713924,Token Engineering
1223,20:3:7,johann,396397812037713924,Token Engineering
1226,20:4:37,johann,396397812037713924,Token Engineering
1229,20:6:7,johann,396397812037713924,Token Engineering
1232,20:7:37,johann,396397812037713924,Token Engineering
1235,20:9:7,johann,396397812037713924,Token Engineering
1238,20:10:37,johann,396397812037713924,Token Engineering
1241,20:12:7,johann,396397812037713924,Token Engineering
1244,20:13:37,johann,396397812037713924,Token Engineering
1247,20:15:7,johann,396397812037713924,Token Engineering
1250,20:16:37,johann,396397812037713924,Token Engineering
1253,20:18:7,johann,396397812037713924,Token Engineering
1256,20:19:37,johann,396397812037713924,Token Engineering
1259,20:21:7,johann,396397812037713924,Token Engineering
1262,20:22:37,johann,396397812037713924,Token Engineering
1265,20:24:7,johann,396397812037713924,Token Engineering
1268,20:25:37,johann,396397812037713924,Token Engineering
1271,20:27:7,johann,396397812037713924,Token Engineering
1274,20:28:37,johann,396397812037713924,Token Engineering
1277,20:30:7,johann,396397812037713924,Token Engineering
1280,20:31:37,johann,396397812037713924,Token Engineering
1283,20:33:7,johann,396397812037713924,Token Engineering
1286,20:34:37,johann,396397812037713924,Token Engineering
1289,20:36:7,johann,396397812037713924,Token Engineering
1292,20:37:37,johann,396397812037713924,Token Engineering
1295,20:39:7,johann,396397812037713924,Token Engineering
1298,20:40:37,johann,396397812037713924,Token Engineering
1301,20:42:7,johann,396397812037713924,Token Engineering
1304,20:43:37,johann,396397812037713924,Token Engineering
1307,20:45:8,johann,396397812037713924,Token Engineering
1310,20:46:38,johann,396397812037713924,Token Engineering
1312,20:48:8,johann,396397812037713924,Token Engineering
1314,20:49:38,johann,396397812037713924,Token Engineering
1316,20:51:8,johann,396397812037713924,Token Engineering
1318,20:52:38,johann,396397812037713924,Token Engineering
1320,20:54:8,johann,396397812037713924,Token Engineering
